Date,High,Low
14.04.2023,33°,27°
15.04.2023,33°,26°
16.04.2023,33°,27°
17.04.2023,32°,27°
18.04.2023,33°,27°
19.04.2023,33°,26°
20.04.2023,32°,28°
21.04.2023,33°,27°
22.04.2023,33°,27°
23.04.2023,33°,28°
24.04.2023,32°,28°
25.04.2023,32°,28°
26.04.2023,33°,27°
27.04.2023,32°,28°
28.04.2023,33°,27°
29.04.2023,32°,26°
30.04.2023,32°,26°
1.05.2023,33°,26°
2.05.2023,31°,26°
3.05.2023,28°,25°
4.05.2023,31°,25°
5.05.2023,32°,26°
6.05.2023,32°,27°
7.05.2023,33°,27°
8.05.2023,32°,28°
9.05.2023,33°,27°
10.05.2023,33°,27°
11.05.2023,33°,27°
12.05.2023,32°,27°
13.05.2023,32°,27°
14.05.2023,33°,27°
15.05.2023,33°,26°
16.05.2023,33°,27°
17.05.2023,35°,27°
18.05.2023,33°,27°
19.05.2023,32°,25°
20.05.2023,32°,25°
21.05.2023,31°,26°
22.05.2023,34°,26°
23.05.2023,33°,27°
24.05.2023,33°,27°
25.05.2023,31°,27°
26.05.2023,33°,26°
27.05.2023,31°,26°
28.05.2023,31°,26°
29.05.2023,32°,28°
30.05.2023,31°,29°
31.05.2023,32°,27°
1.06.2023,31°,25°
2.06.2023,32°,25°
3.06.2023,32°,26°
4.06.2023,31°,25°
5.06.2023,31°,25°
6.06.2023,31°,26°
7.06.2023,32°,26°
8.06.2023,32°,26°
9.06.2023,33°,27°
10.06.2023,32°,27°
11.06.2023,33°,27°
12.06.2023,34°,27°
